iter	Accuracy	MultiClass
0	0.9096989967	0.9873327974
1	0.9096989967	0.8979401906
2	0.9063545151	0.8264811709
3	0.9130434783	0.7685300921
4	0.8996655518	0.7144982271
5	0.9030100334	0.6739748308
6	0.8996655518	0.6329420986
7	0.9030100334	0.594170433
8	0.9030100334	0.5641320593
9	0.9063545151	0.533184688
10	0.9130434783	0.508664616
11	0.9197324415	0.4872829051
12	0.9197324415	0.469911696
13	0.9197324415	0.4546177079
14	0.9197324415	0.4399135374
15	0.9197324415	0.4266282402
16	0.9163879599	0.4143710271
17	0.9230769231	0.4030234634
18	0.9197324415	0.3938272786
19	0.9197324415	0.3857584367
20	0.9230769231	0.3773098645
21	0.9197324415	0.3687073147
22	0.9230769231	0.3622617979
23	0.9264214047	0.3546666185
24	0.9264214047	0.3478083838
25	0.9331103679	0.3417750257
26	0.9331103679	0.3372142072
27	0.9331103679	0.3325589124
28	0.9331103679	0.3287749822
29	0.9331103679	0.3251963035
30	0.9331103679	0.3219701248
31	0.9331103679	0.3186654211
32	0.9331103679	0.3159486621
33	0.9331103679	0.3126619472
34	0.9331103679	0.3083817561
35	0.9331103679	0.3054283751
36	0.9331103679	0.3029387338
37	0.9331103679	0.3002363331
38	0.9331103679	0.2982391609
39	0.9331103679	0.2955922673
40	0.9331103679	0.2939021209
41	0.9331103679	0.2917347225
42	0.9331103679	0.2888419134
43	0.9331103679	0.2871695914
44	0.9331103679	0.2853275841
45	0.9331103679	0.2818001681
46	0.9331103679	0.2789905819
47	0.9331103679	0.2782487004
48	0.9331103679	0.2764775985
49	0.9331103679	0.2751632519
50	0.9331103679	0.273536401
51	0.9331103679	0.2720249343
52	0.9331103679	0.2704068293
53	0.9331103679	0.2690410698
54	0.9331103679	0.2672687958
55	0.9331103679	0.2665775815
56	0.9331103679	0.265543239
57	0.9331103679	0.2637004822
58	0.9331103679	0.262899067
59	0.9331103679	0.2620105516
60	0.9331103679	0.2605523985
61	0.9331103679	0.2587966234
62	0.9331103679	0.2578430108
63	0.9331103679	0.256957904
64	0.9331103679	0.2560046259
65	0.9331103679	0.2547795335
66	0.9331103679	0.2540168863
67	0.9331103679	0.2528954421
68	0.9331103679	0.2506329933
69	0.9331103679	0.2495586023
70	0.9331103679	0.2487110173
71	0.9331103679	0.2468300452
72	0.9331103679	0.2458430687
73	0.9331103679	0.2450309287
74	0.9331103679	0.2433324976
75	0.9331103679	0.2426928156
76	0.9331103679	0.2421589014
77	0.9331103679	0.2405622832
78	0.9331103679	0.2398734777
79	0.9331103679	0.2381346153
80	0.9331103679	0.2368872428
81	0.9331103679	0.2361514898
82	0.9331103679	0.2351451275
83	0.9331103679	0.2343048488
84	0.9331103679	0.2331541093
85	0.9331103679	0.2320064017
86	0.9331103679	0.2314702197
87	0.9331103679	0.230219735
88	0.9331103679	0.2289431125
89	0.9331103679	0.2272162875
90	0.9331103679	0.2258554766
91	0.9331103679	0.224985419
92	0.9331103679	0.2242038842
93	0.9331103679	0.2226713524
94	0.9331103679	0.2211395891
95	0.9331103679	0.2203870388
96	0.9331103679	0.2196485114
97	0.9331103679	0.2185402569
98	0.9364548495	0.2178103456
99	0.9331103679	0.2170730495
100	0.9397993311	0.2161460302
101	0.9364548495	0.2152480456
102	0.9364548495	0.2138075292
103	0.9364548495	0.212159128
104	0.9364548495	0.2113229906
105	0.9364548495	0.2105069114
106	0.9397993311	0.2095516049
107	0.9397993311	0.2086754941
108	0.9397993311	0.2076838986
109	0.9397993311	0.2068097003
110	0.9397993311	0.2059859197
111	0.9397993311	0.2050635725
112	0.9397993311	0.204443234
113	0.9397993311	0.2039780188
114	0.9397993311	0.2029204322
115	0.9397993311	0.2020129051
116	0.9397993311	0.2011701288
117	0.9397993311	0.200374865
118	0.9397993311	0.1990644418
119	0.9397993311	0.1979593785
120	0.9397993311	0.1971134522
121	0.9397993311	0.1966174451
122	0.9397993311	0.1956981377
123	0.9397993311	0.1950009435
124	0.9397993311	0.1944991063
125	0.9397993311	0.1932844343
126	0.9397993311	0.192355879
127	0.9397993311	0.1915639366
128	0.9397993311	0.1910319183
129	0.9397993311	0.1898623286
130	0.9397993311	0.1889483238
131	0.9397993311	0.1883300202
132	0.9397993311	0.1876148306
133	0.9397993311	0.1867664662
134	0.9397993311	0.1860236329
135	0.9397993311	0.1852071929
136	0.9397993311	0.1843131658
137	0.9397993311	0.1837233562
138	0.9464882943	0.1830597165
139	0.9464882943	0.1823144435
140	0.9464882943	0.1815647282
141	0.9464882943	0.1807802974
142	0.9464882943	0.180013209
143	0.9464882943	0.179523516
144	0.9464882943	0.179087182
145	0.9464882943	0.1784054581
146	0.9464882943	0.1777779906
147	0.9464882943	0.1769744513
148	0.9464882943	0.1763203187
149	0.9464882943	0.1750712429
150	0.9464882943	0.1744879283
151	0.9464882943	0.1738508554
152	0.9464882943	0.1730970372
153	0.9464882943	0.1724997827
154	0.9464882943	0.1718205461
155	0.9464882943	0.1714157855
156	0.9464882943	0.17048907
157	0.9464882943	0.1698411645
158	0.9464882943	0.1692037204
159	0.9464882943	0.1685796989
160	0.9464882943	0.1680215699
161	0.9464882943	0.1676529031
162	0.9464882943	0.1673740969
163	0.9464882943	0.1667030035
164	0.9464882943	0.1662705092
165	0.9464882943	0.1654682311
166	0.9464882943	0.1648587644
167	0.9464882943	0.1643408148
168	0.9464882943	0.1639859814
169	0.9464882943	0.1634753266
170	0.9464882943	0.1629020678
171	0.9464882943	0.1625430377
172	0.9464882943	0.162075733
173	0.9464882943	0.1613107774
174	0.9464882943	0.1605768958
175	0.9464882943	0.1593681175
176	0.9464882943	0.1587760557
177	0.9464882943	0.1585281388
178	0.9464882943	0.1579416831
179	0.9464882943	0.1572492394
180	0.9464882943	0.1566881402
181	0.9464882943	0.1563766665
182	0.9464882943	0.1553292132
183	0.9464882943	0.1548676425
184	0.9464882943	0.1545437105
185	0.9464882943	0.1540036063
186	0.9464882943	0.1535815753
187	0.9464882943	0.1529871201
188	0.9464882943	0.1522998044
189	0.9464882943	0.1518894895
190	0.9464882943	0.1509634556
191	0.9464882943	0.1506475182
192	0.9464882943	0.149918798
193	0.9464882943	0.1493771571
194	0.9464882943	0.1485462882
195	0.9464882943	0.1480109199
196	0.9464882943	0.1476941652
197	0.9464882943	0.1472305502
198	0.9464882943	0.1462582253
199	0.9464882943	0.1457647668
200	0.9464882943	0.1453125364
201	0.9464882943	0.1449109338
202	0.9464882943	0.1444486949
203	0.9464882943	0.1440778753
204	0.9464882943	0.1437740618
205	0.9464882943	0.1433590509
206	0.9464882943	0.1430741746
207	0.9464882943	0.1421487877
208	0.9464882943	0.1415629257
209	0.9464882943	0.1410145921
210	0.9464882943	0.140563287
211	0.9464882943	0.1396194469
212	0.9498327759	0.1392132779
213	0.9498327759	0.1387582383
214	0.9498327759	0.1378278065
215	0.9498327759	0.1374575597
216	0.9498327759	0.1369606239
217	0.9498327759	0.1363913496
218	0.9498327759	0.1356520196
219	0.9498327759	0.1350009764
220	0.9498327759	0.1342620768
221	0.9498327759	0.1336744832
222	0.9498327759	0.1329720355
223	0.9498327759	0.1324659409
224	0.9498327759	0.132133393
225	0.9498327759	0.1319003893
226	0.9498327759	0.1314743481
227	0.9531772575	0.1310945812
228	0.9531772575	0.1306695246
229	0.9531772575	0.1301793948
230	0.9531772575	0.1297113917
231	0.9531772575	0.1292956923
232	0.9531772575	0.1289482337
233	0.9531772575	0.1285606895
234	0.9531772575	0.1279541114
235	0.9531772575	0.1276360973
236	0.9531772575	0.1270127682
237	0.9531772575	0.1267213825
238	0.9531772575	0.1262707213
239	0.9531772575	0.1257565381
240	0.9531772575	0.1254583145
241	0.9531772575	0.1249061805
242	0.9565217391	0.1245607856
243	0.9565217391	0.1242463067
244	0.9598662207	0.1237562273
245	0.9598662207	0.1235884726
246	0.9598662207	0.1231237133
247	0.9598662207	0.1227922168
248	0.9598662207	0.1223996783
249	0.9598662207	0.1219148687
250	0.9598662207	0.1215078008
251	0.9598662207	0.1211483122
252	0.9598662207	0.1204829208
253	0.9598662207	0.120159081
254	0.9598662207	0.1195929215
255	0.9598662207	0.1192538819
256	0.9598662207	0.1184534937
257	0.9632107023	0.1180176413
258	0.9598662207	0.1174060766
259	0.9632107023	0.1171679832
260	0.9632107023	0.1169478905
261	0.9632107023	0.1166975315
262	0.9632107023	0.1162758212
263	0.9632107023	0.1158131782
264	0.9632107023	0.1154997899
265	0.9665551839	0.1148260227
266	0.9665551839	0.1144643963
267	0.9665551839	0.1141850863
268	0.9665551839	0.1138011784
269	0.9665551839	0.1132912525
270	0.9665551839	0.1129025855
271	0.9665551839	0.1125230493
272	0.9665551839	0.1121016215
273	0.9665551839	0.1117612401
274	0.9665551839	0.1113505881
275	0.9665551839	0.1109655599
276	0.9698996656	0.1105745845
277	0.9698996656	0.1102952664
278	0.9698996656	0.1100291516
279	0.9698996656	0.1096296985
280	0.9698996656	0.1093602949
281	0.9698996656	0.109086822
282	0.9698996656	0.1088097963
283	0.9698996656	0.1084665806
284	0.9698996656	0.1078283639
285	0.9698996656	0.1074893431
286	0.9698996656	0.1068266622
287	0.9698996656	0.106491481
288	0.9698996656	0.1062309672
289	0.9698996656	0.1058105909
290	0.9698996656	0.1054566175
291	0.9698996656	0.1051583425
292	0.9698996656	0.1046291342
293	0.9698996656	0.1041181583
294	0.9698996656	0.1036691731
295	0.9698996656	0.1033426672
296	0.9698996656	0.1029821209
297	0.9698996656	0.1026035025
298	0.9698996656	0.1023471599
299	0.9698996656	0.1020040133
300	0.9698996656	0.1017768423
301	0.9698996656	0.1015576196
302	0.9698996656	0.1013995806
303	0.9698996656	0.1009484639
304	0.9698996656	0.1004701942
305	0.9698996656	0.09998619293
306	0.9698996656	0.09949992145
307	0.9698996656	0.09934201118
308	0.9698996656	0.09902753853
309	0.9698996656	0.09879029924
310	0.9698996656	0.09840044482
311	0.9698996656	0.09808013818
312	0.9698996656	0.09790103629
313	0.9698996656	0.09742062966
314	0.9698996656	0.09691196213
315	0.9698996656	0.09671628204
316	0.9698996656	0.09639307766
317	0.9698996656	0.09616548096
318	0.9698996656	0.09598614147
319	0.9698996656	0.09575158332
320	0.9698996656	0.09519652249
321	0.9698996656	0.09490877218
322	0.9698996656	0.09453413691
323	0.9698996656	0.09405085584
324	0.9698996656	0.09360952665
325	0.9698996656	0.09332256523
326	0.9698996656	0.09314018127
327	0.9698996656	0.09292227265
328	0.9698996656	0.09253009001
329	0.9698996656	0.09210371525
330	0.9698996656	0.0917957211
331	0.9698996656	0.09150806419
332	0.9698996656	0.09128170776
333	0.9698996656	0.09106016197
334	0.9698996656	0.09061949255
335	0.9698996656	0.0902504294
336	0.9698996656	0.09003586754
337	0.9698996656	0.08972510388
338	0.9698996656	0.08939513713
339	0.9698996656	0.08911285951
340	0.9698996656	0.08873830307
341	0.9698996656	0.08850476843
342	0.9698996656	0.08825105171
343	0.9698996656	0.08785841229
344	0.9698996656	0.08753763196
345	0.9698996656	0.08724914506
346	0.9698996656	0.08701468467
347	0.9698996656	0.08675918698
348	0.9698996656	0.08651784956
349	0.9698996656	0.08624251692
350	0.9698996656	0.08577951201
351	0.9698996656	0.08537584934
352	0.9698996656	0.08523756099
353	0.9698996656	0.08495973422
354	0.9698996656	0.08468951862
355	0.9698996656	0.08437547612
356	0.9698996656	0.08412685023
357	0.9698996656	0.08378970733
358	0.9698996656	0.0833678926
359	0.9698996656	0.08311727479
360	0.9698996656	0.08293342124
361	0.9698996656	0.08263921617
362	0.9698996656	0.08246016247
363	0.9698996656	0.082259106
364	0.9698996656	0.0820516456
365	0.9698996656	0.08181396169
366	0.9698996656	0.0816000553
367	0.9698996656	0.08126605798
368	0.9698996656	0.08104295154
369	0.9698996656	0.08085941018
370	0.9698996656	0.08066000671
371	0.9698996656	0.08046318407
372	0.9698996656	0.08022431338
373	0.9732441472	0.07991102351
374	0.9732441472	0.07969123413
375	0.9732441472	0.07945921034
376	0.9732441472	0.07923867644
377	0.9732441472	0.07893264363
378	0.9732441472	0.07863026424
379	0.9732441472	0.07843656007
380	0.9732441472	0.07831937879
381	0.9732441472	0.07802357091
382	0.9732441472	0.07779525065
383	0.9732441472	0.0776070265
384	0.9732441472	0.07735601838
385	0.9732441472	0.07712843333
386	0.9732441472	0.07691280054
387	0.9732441472	0.0767362148
388	0.9732441472	0.07654396204
389	0.9732441472	0.07626708266
390	0.9732441472	0.07604987694
391	0.9732441472	0.075743444
392	0.9732441472	0.07549450732
393	0.9732441472	0.07536865631
394	0.9732441472	0.07520919688
395	0.9732441472	0.07499827535
396	0.9732441472	0.07480910656
397	0.9732441472	0.0746812728
398	0.9732441472	0.07449216345
399	0.9732441472	0.07427274318
400	0.9732441472	0.07403088277
401	0.9732441472	0.07380816679
402	0.9732441472	0.07356199101
403	0.9732441472	0.07333565878
404	0.9732441472	0.07311354492
405	0.9732441472	0.07286796133
406	0.9732441472	0.07270130409
407	0.9732441472	0.07251498753
408	0.9732441472	0.0722314979
409	0.9732441472	0.0719952705
410	0.9732441472	0.07178635572
411	0.9732441472	0.07161868691
412	0.9732441472	0.07139848054
413	0.9765886288	0.07120804584
414	0.9765886288	0.07107869322
415	0.9765886288	0.07083284646
416	0.9765886288	0.07054515312
417	0.9765886288	0.07032894012
418	0.9765886288	0.07008284209
419	0.9765886288	0.06987683492
420	0.9765886288	0.06976094924
421	0.9765886288	0.06961449776
422	0.9765886288	0.06951227555
