iter	Passed	Remaining
0	48	48514
1	49	24614
2	50	16635
3	50	12641
4	51	10163
5	51	8568
6	52	7378
7	52	6531
8	53	5874
9	54	5353
10	54	4923
11	55	4564
12	56	4261
13	56	4001
14	57	3774
15	58	3576
16	58	3406
17	59	3257
18	60	3117
19	61	2990
20	61	2878
21	62	2778
22	63	2690
23	64	2612
24	64	2532
25	65	2457
26	66	2388
27	66	2325
28	67	2253
29	67	2198
30	68	2151
31	69	2102
32	70	2059
33	71	2019
34	71	1980
35	72	1945
36	73	1923
37	75	1901
38	76	1875
39	76	1846
40	77	1821
41	78	1794
42	79	1769
43	80	1742
44	80	1716
45	81	1690
46	82	1666
47	82	1639
48	83	1616
49	83	1595
50	84	1575
51	85	1555
52	86	1537
53	86	1518
54	87	1500
55	88	1484
56	88	1468
57	89	1452
58	90	1436
59	90	1422
60	91	1408
61	92	1394
62	92	1380
63	93	1367
64	94	1354
65	94	1342
66	95	1329
67	96	1318
68	96	1307
69	97	1296
70	98	1286
71	99	1276
72	99	1265
73	100	1255
74	101	1246
75	101	1237
76	102	1227
77	103	1219
78	103	1210
79	104	1202
80	105	1193
81	105	1185
82	106	1177
83	107	1169
84	107	1161
85	108	1154
86	109	1146
87	109	1139
88	110	1132
89	111	1125
90	112	1118
91	112	1112
92	113	1105
93	114	1099
94	114	1093
95	115	1087
96	116	1080
97	116	1075
98	117	1069
99	118	1063
100	118	1058
101	119	1052
102	120	1047
103	120	1041
104	121	1036
105	122	1031
106	123	1026
107	123	1021
108	124	1016
109	125	1012
110	125	1007
111	126	1002
112	127	997
113	127	993
114	128	988
115	129	984
116	130	981
117	130	977
118	131	973
119	132	969
120	133	966
121	133	961
122	134	957
123	135	953
124	135	950
125	136	946
126	137	942
127	137	939
128	138	936
129	139	932
130	140	929
131	140	925
132	141	922
133	142	918
134	142	915
135	143	914
136	144	913
137	146	912
138	146	909
139	147	907
140	148	905
141	149	904
142	150	901
143	151	898
144	151	895
145	152	892
146	153	889
147	154	886
148	154	883
149	155	880
150	156	877
151	156	874
152	157	871
153	158	868
154	158	866
155	159	863
156	160	860
157	160	857
158	161	854
159	162	852
160	163	849
161	163	847
162	164	844
163	165	841
164	165	837
165	166	834
166	166	831
167	167	829
168	168	826
169	168	824
170	169	821
171	170	819
172	170	816
173	171	814
174	172	811
175	172	809
176	173	807
177	173	802
178	174	800
179	175	798
180	175	795
181	176	793
182	177	791
183	177	789
184	178	786
185	179	784
186	180	782
187	180	780
188	181	778
189	182	776
190	182	773
191	183	771
192	184	769
193	184	767
194	185	765
195	186	763
196	186	761
197	187	759
198	188	757
199	188	755
200	189	753
201	190	751
202	191	750
203	191	748
204	192	746
205	193	744
206	193	742
207	194	740
208	195	739
209	195	737
210	196	735
211	197	733
212	198	731
213	198	730
214	199	728
215	200	727
216	201	725
217	201	724
218	202	722
219	203	721
220	204	719
221	204	717
222	205	716
223	206	714
224	207	713
225	207	711
226	208	709
227	209	707
228	209	706
229	210	704
230	211	702
231	211	701
232	212	699
233	213	697
234	214	696
235	215	696
236	216	696
237	217	696
238	218	695
239	219	694
240	220	692
241	220	691
242	221	689
243	222	688
244	223	687
245	223	685
246	224	684
247	225	682
248	225	681
249	226	679
250	227	677
251	227	676
252	228	674
253	229	673
254	229	671
255	230	670
256	231	668
257	232	667
258	232	665
259	233	664
260	234	662
261	234	661
262	235	659
263	236	658
264	236	657
265	237	655
266	238	654
267	238	652
268	239	651
269	240	649
270	241	648
271	241	647
272	242	645
273	243	644
274	243	642
275	244	641
276	245	639
277	245	638
278	246	636
279	247	635
280	247	633
281	248	632
282	249	631
283	249	629
284	250	628
285	251	627
286	251	625
287	252	624
288	253	623
289	253	621
290	254	620
291	255	619
292	256	617
293	256	616
294	257	615
295	258	613
296	258	612
297	259	611
298	260	610
299	260	608
300	261	607
301	262	606
302	263	605
303	263	603
304	264	602
305	265	601
306	265	600
307	266	598
308	267	597
309	268	596
310	268	595
311	269	594
312	270	592
313	270	591
314	271	590
315	272	589
316	273	588
317	273	587
318	274	585
319	275	584
320	276	584
321	276	583
322	277	582
323	278	580
324	279	579
325	279	578
326	280	577
327	281	575
328	281	574
329	282	573
330	283	572
331	284	571
332	284	570
333	285	569
334	286	568
335	287	568
336	288	568
337	289	567
338	290	566
